food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Food Bank,Hopelink,Bellevue Food Bank,Open,General Public,"14812 Main St, Bellevue, WA 98007",47.6101989,-122.1414751,(425)-869-6000,https://www.hopelink.org/need-help/food,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,4,False,False,True,False,False,Bellevue
Food Bank,Hopelink,Kirkland Food Bank,Open,General Public,"11011 120th Ave NE, Kirkland, WA 98033",47.6987817,-122.1818137,(425)-869-6000,https://www.hopelink.org/programs/food-program/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,4,False,False,True,False,False,Kirkland
Food Bank,Hopelink,Redmond Food Bank,Open,General Public,"8990 154th Ave NE, Redmond, WA 98052",47.6818932,-122.13423,(425)-869-6000,https://www.hopelink.org/programs/food-program/,"Monday, Tuesday, Wednesday, Thursday",8/7/2025,4,False,False,True,False,False,Redmond
Food Bank,Hopelink,Shoreline Food Bank,Open,General Public,"17837 Aurora Ave N, Shoreline, WA 98133",47.758995,-122.3668098,(206)-440-7300,https://www.hopelink.org/need-help/food,"Monday, Tuesday, Wednesday, Thursday",7/28/2025,4,False,False,True,False,False,Shoreline
Meal,Hunger Intervention Program,Cedarvale Village,Open,Youth and Young Adults,"11050 8th Ave NE, Seattle, WA 98125",47.710233,-122.3201755,(206)-538-6567,https://www.hungerintervention.org/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/4/2025,5,True,False,False,False,False,Seattle
Meal,Hunger Intervention Program,Lake City Court,Open,Youth and Young Adults,"12526 33rd Ave NE, Seattle, WA 98125",47.720291,-122.291805,(206)-538-6567,https://www.hungerintervention.org/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,5,True,False,False,False,False,Seattle
Meal,Hunger Intervention Program,Bella-B Mobile Park Home,Open,Youth and Young Adults,"1333 N 125th St, Seattle, WA 98133",47.7191339,-122.3410813,(206)-538-6567,https://www.hungerintervention.org,"Monday, Tuesday, Wednesday, Thursday, Friday",8/4/2025,5,True,False,False,False,False,Seattle
Meal,Hunger Intervention Program,Jackson Park Community Building,Open,Youth and Young Adults,"14374 30th Ave NE, Seattle, WA 98125",47.733508,-122.29595,(206)-538-6567,https://www.hungerintervention.org/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,5,True,False,False,False,False,Seattle
Meal,Hunger Intervention Program,Afterschool Meal at Lake City Library,Open,Youth and Young Adults,"12501 28th Ave NE, Seattle, WA 98125",,,(206)-538-6567,https://hungerintervention.org/afterschool-meals/,Friday,8/11/2025,1,True,False,False,False,False,Seattle
Meal,Hunger Intervention Program,Farmers Market at Lake City Community Center,Open,Youth and Young Adults,"12546 28th Ave NE, Seattle, WA 98125",47.7197784,-122.2975849,(206)-538-6567,https://www.hungerintervention.org/,Thursday,8/9/2025,1,True,False,False,False,False,Seattle
Food Bank & Meal,Immanuel Community Services,Immanuel Community Services Food Bank and Community Lunch,Open,General Public,"1215 Thomas, Seattle, WA 98109",47.6206572,-122.3321098,(206)-622-1930,https://www.icsseattle.org/,"Sunday, Monday",8/4/2025,2,False,False,True,False,True,Seattle
Food Bank,Issaquah Food and Clothing Bank,Issaquah Food and Clothing Bank,Open,General Public,"179 1st Ave SE, Issaquah, WA 98027",47.528687,-122.0349549,(425)-392-4123,https://issaquahfoodbank.org/,"Monday, Tuesday, Thursday",8/4/2025,3,False,False,True,False,False,Issaquah
