food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Food Bank,YWCA,Central Area Food Bank,Open,General Public,"2820 E Cherry St, Seattle, WA 98122",47.608328,-122.2958409,(206)-375-1496,https://www.ywcaworks.org/programs/central-area-food-bank,Wednesday,8/5/2025,1,False,False,True,False,False,Seattle
Food Bank,Cultivate South Park,Cultivate South Park,Open,General Public,"614 S Riverside Drive, Seattle, WA 98108",47.5350237,-122.3263116,,https://www.cultivatesouthpark.org,"Tuesday, Friday",11/5/2025,2,False,False,True,False,False,Seattle
Meal,St. James Cathedral,Cathedral Kitchen,Open,General Public,"804 9th Ave, Seattle, WA 98104",47.607646,-122.3259157,(206)-264-2091,https://www.stjames-cathedral.org/outreach/kitchen.aspx,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,5,False,False,True,False,False,Seattle
Food Bank,Center for MultiCultural Health,Center for MultiCultural Health,Open,Contact Agency for Any Eligibility Requirements,"801 25th Ave, Seattle, WA 98122",47.609283,-122.3005353,(206)-461-6910,https://www.centerformulticulturalhealth.org/,Friday,2/4/2026,1,False,False,False,True,False,Seattle
Meal,Chief Seattle Club,Chief Seattle Club,Open,Contact Agency for Any Eligibility Requirements,"410 2nd Ave Ext S, Seattle, WA 98104",47.6012206,-122.3310925,(206)-715-7536,https://www.chiefseattleclub.org/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2/4/2026,7,False,False,False,True,True,Seattle
Food Bank & Meal,For All,For All,Open,General Public,"903 E Yesler Wy, Seattle, WA 98122",47.6011076,-122.3215355,,https://www.freefoodforall.org/,"Sunday, Saturday",2/4/2026,2,False,False,True,False,True,Seattle
Food Bank,ICNA Relief,ICNA Relief,Open,General Public,"6721 Martin Luther King Jr Way S, Seattle, WA 98118",47.541886,-122.284044,(206)-695-2080,https://icnarelief.org/washington/,Thursday,2/4/2026,1,False,False,True,False,False,Seattle
Meal,Rainier Vista Boys & Girls Club,Rainier Vista Boys & Girls Club,Open,Youth and Young Adults,"4520 MLK Wy, Seattle, WA 98108",47.5626423,-122.2937256,(206)-436-1890,https://positiveplace.org/clubs/smilow-rainier-vista,,2/5/2026,0,True,False,False,False,False,Seattle
Meal,YMCA of Greater Seattle,YMCA of Greater Seattle,Open,Contact Agency for Any Eligibility Requirements,"909 4th Ave, Seattle, WA 98104",47.6054636,-122.3327052,,https://www.seattleymca.org/social-impact-center/youth-young-adults/drop-in-services,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2/5/2026,7,False,False,False,True,True,Seattle
Meal,Phinney Neighborhood Association,St. John United Lutheran Church,Open,General Public,"5515 Phinney Ave N, Seattle, WA 98103",,,(206)-783-2244,https://www.phinneycenter.org/hotmeal/,"Monday, Tuesday, Wednesday",8/12/2025,3,False,False,True,False,False,Seattle
Food Bank & Meal,Society of St Vincent de Paul Council,Georgetown Food Bank,Open,General Public,"5972 4th Ave S, Seattle, WA 98108",47.5486194,-122.3291318,(206)-686-5260,https://www.svdpseattle.org/get-help/food-bank/,"Tuesday, Thursday, Friday",8/5/2025,3,False,False,True,False,False,Seattle
